Term,Score,Polarity,isAcquired,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
kind,0.79021937,POS,Y,"IÃ¢ÂÂve never heard anything about MS causing added brain fluid, or a special <span class=""OP"">kind</span> of fluid in one part of your system.","So for years before dx I would get migraines, always in a specific spot, and I always <span class=""OP"">kind</span> of wondered in the back of my mind if something was going on...","That <span class=""OP"">kind</span> of testing has large moral issues to consider, and that's why it will take much longer for any of that hard evidence to become available.","That doesn't make any <span class=""OP"">kind</span> of sense, but whatever, as long as you're feeling good!","My left side still can't hold the <span class=""OP"">kind</span> of definition","ItÃ¢ÂÂs hard and scary to tackle this <span class=""OP"">kind</span> of change alone.","He <span class=""OP"">kind</span> of offered them, he said I could get steroids if I want","donÃ¢ÂÂt forget to be <span class=""OP"">kind</span> to yourself.","I'm just asking if anyone else has that <span class=""OP"">kind</span> of pain","I just want a diagnosis to start some <span class=""OP"">kind</span> of treatment.","Thank you so much for the reply and <span class=""OP"">kind</span> words.","This feels like the <span class=""OP"">kind</span> of tired that I can't fix with caffeine.","" response, or I can be <span class=""OP"">kind</span> of rude and ask what your physical capabilities are knowing that it's none of my business. :-)","What <span class=""OP"">kind</span> of work do you do?","Did your specialist offer you what <span class=""OP"">kind</span> of future you may have?","For me at least, I'm not the <span class=""OP"">kind</span> of person that gets affected by reading up on things like side effects of a disease or a new drug.","His nutrition has <span class=""OP"">kind</span> of gone by the wayside which concerns me, but I have my own problems that also frankly make fast food and frozen entrees a lot easier.","","","",
quick,0.9995785,POS,Y,"Also, just a <span class=""OP"">quick</span> note on permanent symptoms - my neuro said that you start to consider a neurological symptom to be permanent after a year, so there's still time for your symptoms from this list relapse to improve.","I had a <span class=""OP"">quick</span> Google and didn't see anything.","not at all, very <span class=""OP"">quick</span> 20 mins intravenous""","""hey. just want to do a <span class=""OP"">quick</span> CT and make sure I'm not bleeding up here.","Acceptance has come pretty <span class=""OP"">quick</span> for me, but that might be because it took years for me to get diagnosed and I'm essentially an incomplete quad at this point so had gotten used to the idea of being disabled in general.","It has a drawback, though, which is being <span class=""OP"">quick</span> to build tolerance.","I haven't had any bills to deal with, but there are no <span class=""OP"">quick</span> answers here.","DMT ASAP (like soon, a <span class=""OP"">quick</span> few Tysabri infusions would be good while you decide on your ultimate DMT).","The last MRI I had was head, neck and spine and they ran the normal scans for all 3 first, got the contrast and then a <span class=""OP"">quick</span> scan on all 3 again.","but now I have a very short fuse and am <span class=""OP"">quick</span> to anger.","IÃ¢ÂÂll get his ass off the life support so <span class=""OP"">quick</span> that oneÃ¢ÂÂs head will spin.","So as a <span class=""OP"">quick</span> recap","Wishing you a fast recovery and a <span class=""OP"">quick</span> start on your next meds!","Getting used to injecting yourself is a super <span class=""OP"">quick</span> process too, so I wouldn't be too worried about that part.","Your question has been asked a lot recently so I would do a <span class=""OP"">quick</span> search on here, but it's true that there is no 'normal'.","A <span class=""OP"">quick</span> lesson.","I used to be a <span class=""OP"">quick</span> thinker","","","",
careful,0.96241236,NEG,Y,"Be <span class=""OP"">careful</span> and make sure you stay flat for at least 24 hours.","I know I had to be <span class=""OP"">careful</span> when I was taking Aubagio.","I have to be <span class=""OP"">careful</span> about meds like zzzQuil because I have type 1 diabetes.","Be <span class=""OP"">careful</span> getting of of it though.","There are a few other health problems that can mimic MS so doctors are <span class=""OP"">careful</span> to rule those out before dropping the bomb of an MS diagnosis.","I would just be <span class=""OP"">careful</span> with the topic of positive thinking and mind over matter.","Got to be <span class=""OP"">careful</span> with the SSRI's.","So a lot of people equate things without enough <span class=""OP"">careful</span> study, but honestly whatever works works.","You have to be pretty <span class=""OP"">careful</span> to make sure not to skip for... a week or two, then missing a dose isn't such a big deal.","You have the right to be bitter, but be <span class=""OP"">careful</span> about allowing that to feed into people's perceptions of you.",""Be <span class=""OP"">careful</span> with going vegan.","Just be <span class=""OP"">careful</span> to place away from your body.","Do be <span class=""OP"">careful</span> using them that often.","I have to be especially <span class=""OP"">careful</span> since I'm already on Protonix as well, which is also known for causing bone density loss.","this does NOT mean you'll be sick all the time just by being on it, you just have to be extra <span class=""OP"">careful</span> with hygiene) and the reactions from the infusion itself (which only commonly happen with the first half-dose - the chance for infusion reactions go way down after the first one).","I have to be <span class=""OP"">careful</span> now because I'm still immunosuppressed from Lemtrada.","The visual helps others be more <span class=""OP"">careful</span> around you, for sure!!","","","",
surprised,0.952312,POS,Y,"You would be <span class=""OP"">surprised</span> at the difference it can make.","Since doctors often don't want to go into such things I was both <span class=""OP"">surprised</span> and thankful that he did -- but I wondered if such things might be removed just because some MSers, prone to depression, could view them the ""wrong"" way.","I was <span class=""OP"">surprised</span> when it didn't feel like losing a fight, but more like winning options.","I tested out my new cane yesterday, and i was pleasantly <span class=""OP"">surprised</span> to see what difference it made :)","I'm only post-diagnosis a couple of months, but I've found my MS nurse really helpful and tbh the slotting in of services post-diagnosis has <span class=""OP"">surprised</span> me a lot after going for so long on my own.","I tested out my new cane yesterday, and i was pleasantly <span class=""OP"">surprised</span> to see what difference it made :)","Now selfishly I am <span class=""OP"">surprised</span> that what I think is the most common demeyelination disease (MS) isn't on the list of treatments they're exploring it for.","I'm <span class=""OP"">surprised</span> your primary care doctor didn't refer you to a rheumatologist (or a neurologist this time around).","I tested out my new cane yesterday, and i was pleasantly <span class=""OP"">surprised</span> to see what difference it made :)","IÃ¢ÂÂm <span class=""OP"">surprised</span> her dr has not already set this up or recommended someone ?","I think you'd be very young to have ALS and the sort of twitching you describe (widespread and episodic) isn't actually that characteristic, so I'm <span class=""OP"">surprised</span> your doctor brought this up.","I tested out my new cane yesterday, and i was pleasantly <span class=""OP"">surprised</span> to see what difference it made :)"","so I was <span class=""OP"">surprised</span> the neuro said MS but relieved too.","The system around here sucks though so IÃ¢ÂÂm not <span class=""OP"">surprised</span> ridership is low.Ã¢ÂÂ","I've been on amantadine for about a year now, and it for sure knocked out the fatigue at the time of prescription and if I forget to take it I do find myself feeling much more tired - otherwise no side effects at all, which <span class=""OP"">surprised</span> me considering","I'd be <span class=""OP"">surprised</span> if you stay awake the entire time.","I was <span class=""OP"">surprised</span> by a full physical exam - reflexes, prick and pressure tests, balance and walking, etc.","","","",
notable,0.99961793,POS,Y,"I usually feel a bit sleepy during the day, but I haven't had any <span class=""OP"">notable</span> side effects.","Then I found out I had MS and that I have <span class=""OP"">notable</span> weakness on the left side but was really only noticeable to me through 2 muscles (quad was the other).","There's been no scientifically gathered evidence that notes any particular diet has any <span class=""OP"">notable</span> impact on MS.","Some of the higher efficacy ones are very well tolerated, and none of them have a <span class=""OP"">notable</span> death rate (the only one that actually can often cause serious autoimmune conditions or","So there is <span class=""OP"">notable</span> variety for compression gear.","","","","","","","","","","","","","","","",
biggest,0.9960798000000001,POS,Y,"My <span class=""OP"">biggest</span> fault is that in any situation I want to be able to fix the problem, and that simply isn't the case with MS.","it is one of the <span class=""OP"">biggest</span> aggravators of Ms and it's symptoms.","My <span class=""OP"">biggest</span> advice might seem basic but it is too often forgotten.","The slow motion thing is my <span class=""OP"">biggest</span> symptom.","One of the things that makes the <span class=""OP"">biggest</span> difference to me is staying cool.","On tec too, and timing plays the <span class=""OP"">biggest</span> role now in whether I like it or not.","Yep that was the <span class=""OP"">biggest</span> reason for me reaching out and setting up a doctors appointment.","I was on it for 5 years and my <span class=""OP"">biggest</span> complaint was dealing with the specialty pharmacy for delivery:)","And for you, the <span class=""OP"">biggest</span> physical task could be picking up and dropping off pets.","Tbh, <span class=""OP"">biggest</span> problem I have in the MRI is boredom nowadays.","My <span class=""OP"">biggest</span> complaint is that I heal so slowly.","He had a recurrence of ""grief"" when I had to start using walking aids, but with that progressing to me using a wheelchair now, he is doing great and is one of my <span class=""OP"">biggest</span> cheerleaders.","IÃ¢ÂÂm sending you the <span class=""OP"">biggest</span> good luck","The <span class=""OP"">biggest</span> thing I wish IÃ¢ÂÂd known earlier was about the effectiveness of aHSCT.","Problems with my bladder used to be my <span class=""OP"">biggest</span> issue, but that pails in comparison to the loss of my memory, and it is quickly becoming the most glaring issue I have.","so you get a lot of things that work for a lot of different things, the <span class=""OP"">biggest</span> ones I see are dairy, gluten, processed sugars and fats... so basically anything in any food.","Also remember that for many people with MS, their <span class=""OP"">biggest</span> burdens are more cognitive than physical.","","","",
conclusive,0.8519296000000001,NEG,Y,"The MRI results aren't 100% <span class=""OP"">conclusive</span> but they can be helpful in at least gauging how likely it is that it is MS.","There are some studies out there supporting benefits for mood and possibly neuro- plasticity and growth but not large <span class=""OP"">conclusive</span> studies.","Results turned out to be <span class=""OP"">conclusive</span> for MS Ã°ÂÂ¤Â·Ã°ÂÂÂ»Ã¢ÂÂÃ¢ÂÂÃ¯Â¸ÂÃ°ÂÂÂ©"","so I can't really give a <span class=""OP"">conclusive</span> answer","Of course nothing <span class=""OP"">conclusive</span> has ever been found for any cause,  so take every scientific study and news article with a healthy dose of scepticism.","","","","","","","","","","","","","","","",
mild,0.9861969999999999,NEG,Y,"It can be <span class=""OP"">mild</span> or acute.","I've only had 2 very <span class=""OP"">mild</span> this month and seems to be working well.","He said mine is <span class=""OP"">mild</span> at the moment, not the 'mildest' but it seems ok - he said I had the amount of lesions he'd expect at this stage (i have 5, includes 1 on spine)","FWIW, I just did a round of steroids and had <span class=""OP"">mild</span> symptoms.","and I'm starting to see the damage in my brain and a <span class=""OP"">mild</span> speech impediment, thanks to my last and worse flair up so far.","Or patients that go to Ohio Health with <span class=""OP"">mild</span> symptoms wanting Ocrevus but refusing to take Tecfidera or Gilenya, even though their doctor recommends this.","Looking back now, the first thing I noticed was some <span class=""OP"">mild</span> numbing in my legs, but I shrugged it off.","I am also on tecfidera (almost 1 year now), and the side effects I experience are flushing 1-2 times a week, some weeks even more often, and very <span class=""OP"">mild</span> stomach issues.","What about <span class=""OP"">mild</span> MS?](https://www.youtube.com/watch?v=kKo5rPsGSNo&t=206s)","I don't dwell on this, but I love reading about new discoveries as I think I have a relatively <span class=""OP"">mild</span> case compared to many, but who knows what may happen in my future.","I had very <span class=""OP"">mild</span> heat and flushing and some other symptoms I canÃ¢ÂÂt remember.","and I think I notice a <span class=""OP"">mild</span> improvement.","The symptoms are <span class=""OP"">mild</span> and IÃ¢ÂÂve had them on and off for about 15 years or so.","I have occasional <span class=""OP"">mild</span> side effects from my medication, but I think itÃ¢ÂÂs better than letting my MS run wild.","I have a <span class=""OP"">mild</span> disease.","Also have some <span class=""OP"">mild</span> vision issues that come and go.","Also very <span class=""OP"">mild</span> (pretty much no symptoms during that time).","","","",
largest,0.9996792,POS,Y,"My <span class=""OP"">largest</span> concern is obviously the risks of the brain virus thing with Tecfidera... but tablets sound more fun than injections (Always hated needles).","""multi scattered lesions"" on my brain with my <span class=""OP"">largest</span> on my frontal lobe.","My <span class=""OP"">largest</span> lesion is right on my spinal cord and was significant impacting my face muscles, vision and balance.","I was also fortunate enough to have significant size reduction in the <span class=""OP"">largest</span> lesion in my brain.","First mri after my last treatment shows no new lesions and my <span class=""OP"">largest</span> ones a tiny bit smaller.","","","","","","","","","","","","","","","",
wet,0.67385334,POS,Y,"Every half a minute it felt like my ass was trying to suddenly and violently clench to hold on to <span class=""OP"">wet</span> spaghetti or something.","and I canÃ¢ÂÂt really hug him back because my hands are dripping <span class=""OP"">wet</span> or full of broccoli from the fridge or whatever.","So working <span class=""OP"">wet</span> keeps me cool and alert.","Same as when I would lifeguard I would sit on the high chair with <span class=""OP"">wet</span> hair.","I have a big bernese mountain dog who DOES NOT swim and refuses to get his feet <span class=""OP"">wet</span> in puddles.","And then spit in it's face when it looks down at its <span class=""OP"">wet</span> shoes.","I broke my favorite German chestnut cane a year ago while away from home, and a part from the embarrassing moment when picking myself off a <span class=""OP"">wet</span> and dirty parking lot asphalt, it was extremely comforting to just open my car door, grab my 'extra"", and get on with my day.","Can use it <span class=""OP"">wet</span> or dry.","Made me use a bedpan for the first time and it missed and I <span class=""OP"">wet</span> the bed.","Sometimes I get the sensation there is a cold, <span class=""OP"">wet</span> spot on my leg, as if I had spilled water on the outer/back part of the middle of my right thigh!","i got the sensation I need to hurry before i <span class=""OP"">wet</span> myself","I recently was on holidays and was cold and <span class=""OP"">wet</span> for a few hours too long and got a cold sore instantly the next day - still pretty mild as I had the anti viral tablet with me.","","","","","","","","",
hardest,0.89570785,NEG,Y,"So whatÃ¢ÂÂs been the <span class=""OP"">hardest</span> on me","I think the <span class=""OP"">hardest</span> part for me is not getting down when things get  hard, the mental part of MS is tough.","I am trying my <span class=""OP"">hardest</span> to keep working until both my kids are 21.","I know they get crap all the time and have the <span class=""OP"">hardest</span> jobs, that's why I am so upset with myself.","You're definitely at the point where it's <span class=""OP"">hardest</span> to wait too.","Honestly, adjusting mentally has been my <span class=""OP"">hardest</span> challenge so far.","Eat protein, carbs too, fruit is helpful though thatÃ¢ÂÂs the one food I find <span class=""OP"">hardest</span> to eat.","Seeing my boyfriend cry in my <span class=""OP"">hardest</span> moments has actually been healing for me.","The <span class=""OP"">hardest</span> part for me was getting the cannula in since I have tiny, spidery veins!","The <span class=""OP"">hardest</span> part for me is there is no way to really plan.","The <span class=""OP"">hardest</span> thing about MS is how completely different it is for each person; except for the lesions found on MRI, no two people have the same symptoms or disease course.","It happened in public for the first time recently, I was getting my iv  and I lashed out at nurses, I had a full blown panic attack infront of people, I was rude to some of the <span class=""OP"">hardest</span> working people","My understanding is that the diagnosis and period following it is the <span class=""OP"">hardest</span> part.","I think the <span class=""OP"">hardest</span> thing for me to comprehend before my first infusion was how I would feel after it.","The <span class=""OP"">hardest</span> part is accepting that your life... outlook and expectations will probably change over the next few years as you find out how aggressive yours is.","Emotionally coping has been the <span class=""OP"">hardest</span> part, as I dont have a good support system.","","","","",
lasting,0.9999148999999999,POS,Y,"Anything <span class=""OP"">lasting</span> less than 24 hours can essentially be disregarded as well.","Major fatigue <span class=""OP"">lasting</span> months and then going away.","I won't make you better, but it can take the edge off, or stop it getting worse and leaving behind some longer <span class=""OP"">lasting</span> damage.","IÃ¢ÂÂve had massages, and theyÃ¢ÂÂre great, but I still donÃ¢ÂÂt always feel that it has a <span class=""OP"">lasting</span> effect.","It is a stronger longer <span class=""OP"">lasting</span> high for me anyways","I am now on Ocrevus, am managing the progression and havenÃ¢ÂÂt seen a <span class=""OP"">lasting</span> change in disability for years.","She is a wonderful woman who brings a spark to my life Ã¢ÂÂºÃ¯Â¸Â <span class=""OP"">Lasting</span> forever is my M.O. as well though and an orgasm 20% of the time would be awesome?","so there was no <span class=""OP"">lasting</span> damage.",", there was no reaction or <span class=""OP"">lasting</span> side effects for me.","In my case around 95% of my symptoms have gone into remission, at one time or another, even those <span class=""OP"">lasting</span> more than two years.","My neuro said some weird things like that can creep up after the infusion and not to worry about it, but to continue to keep him informed of anything <span class=""OP"">lasting</span> more than 24 hours.","I was recently diagnosed myself after having random neurological symptoms for the past few years - luckily I've nearly fully recovered each time and have had no <span class=""OP"">lasting</span> disability (except the mental fatigue, which has been absolutely horrible, but now under control)","They also indicated that they felt like Gilenya was more of a stop-gap measure (it just traps your cells for awhile), whereas Ocrevus could potentially have a <span class=""OP"">lasting</span> impact (per item #1 above).","","","","","","","",
dry,0.99305415,POS,Y,"I have <span class=""OP"">dry</span> EVERYTHING.","Both of the last times I've tried to smoke, I ended up <span class=""OP"">dry</span> heaving for some reason.","I have very <span class=""OP"">dry</span> eyes as of a few years so.","It causes <span class=""OP"">dry</span> eyes/nose/mouth etc.","I, and my doctors, disagree but its so as cut and <span class=""OP"">dry</span> to just say 'oh its abuse' and leave because I have a familial bond","Refined live resin > good <span class=""OP"">dry</span> herb","Severe <span class=""OP"">dry</span> eye and MS is linked.","I did have problems with <span class=""OP"">dry</span> eyes for a few years but that has gone away.","Now, I also use contacts, so that exacerbates things, but I definitely have super <span class=""OP"">dry</span> eyes, way more than I used to.","I jumped on the Google train when I had <span class=""OP"">dry</span> eyes and skin.","I go for <span class=""OP"">Dry</span> Needling Physio twice a week though to help mitigate it.","definitely recommend <span class=""OP"">dry</span> needling (IMS) therapy.","Because my entire body chemistry change after taking Rx drugs....went from palms always sweaty to parched <span class=""OP"">dry</span> constant cotton mouth always itchy.","I have <span class=""OP"">dry</span> eyes, but I don't know that it has anything to do with MS.","My ophthalmologist says <span class=""OP"">dry</span> eyes are common in people with autoimmune conditions like MS.","I just developed <span class=""OP"">dry</span> eye syndrome this year, though I think it's gone as far back as last year (when the damage started - I was suddenly getting styes last year often).","I just got diagnosed with MS this week but <span class=""OP"">dry</span> eyes has been a huge problem for me since last December.","","","",
true,0.9059845,POS,Y,"USA has the best doctors in the world but its <span class=""OP"">true</span> you need money unless you're 65","This is also <span class=""OP"">true</span> for the science on ""grains."","My GP wasn't initially concerned about the twitching being a symptom of anything, because I think it's often a symptom of anxiety or 'imagined' (which I believe is <span class=""OP"">true</span> actually, and hopefully is the case for you).","but it is also <span class=""OP"">true</span> - treatments and drugs and science","but I think I've seen his <span class=""OP"">true</span> colours.","Hmm <span class=""OP"">true</span> about missing work, but I was kinda looking forward to having an excuse to miss work lol.","Aliens are my one <span class=""OP"">true</span> paranormal thing that terrifies me!","Whether his story was *actually* <span class=""OP"">true</span> or not, it makes for a pretty good story","What you're saying might be <span class=""OP"">true</span> if you were living in some developing country, but you're not.","And it is <span class=""OP"">true</span> that other people have their own (serious) stuff going on.","Your question has been asked a lot recently so I would do a quick search on here, but it's <span class=""OP"">true</span> that there is no 'normal'.",""that wasn't <span class=""OP"">true</span> for me.","Frankly, since my diagnosis a year and some change ago, I have never felt in <span class=""OP"">true</span> remission.","We are all <span class=""OP"">true</span> Snowflakes.","not <span class=""OP"">true</span> which is why I laughed.","A lot of this rings <span class=""OP"">true</span> with me.","MS has forced me to focus on my <span class=""OP"">true</span> priorities.","","","",
exhausting,0.7283893,NEG,Y,"Walking will be <span class=""OP"">exhausting</span> because her balance will be off.","I can still walk, but it is incredibly <span class=""OP"">exhausting</span> for me, so I usually use a wheelchair when I am away from my home.","I have often said MS has made us stronger, and yes disease can do that, but theres no instructions for the rest of the world, and that ignorance is so <span class=""OP"">exhausting</span> to deal with constantly.",""Cetirizine or not, an infusion seems like a giant and <span class=""OP"">exhausting</span> day!!","Aside from being a great therapeutic MS resource, they also make intimate time less <span class=""OP"">exhausting</span> and quite sensual.","ItÃ¢ÂÂs <span class=""OP"">exhausting</span> mentally when it happens.","Or, that I'll start the job and it will just be too physically <span class=""OP"">exhausting</span> and then have to give it up anyways.","(Like explaining my brain fog or why the stairs are so <span class=""OP"">exhausting</span> for me)","My legs and my lower back are sore, and I have some flu-like body aches, but I think a lot of it is just from how long and <span class=""OP"">exhausting</span> today was.","It was <span class=""OP"">exhausting</span> and overwhelming.","I know they say relapses are not related to stress / tiredness etc but agree, mine have been after very <span class=""OP"">exhausting</span> weeks!","","","","","","","","","",
